matricula;curso;modalidade_entrada;ano_ingresso;data_colacao_grau;situacao_matricula;sexo;prazo_conclusao;id_curso;data_registro_diploma
122*****;FÍSICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2012;30-03-2023;CONCLUÍDO;M;20211;518227;12-05-2023
201*****;GESTÃO AMBIENTAL;AMPLA CONCORRENCIA;2015;09-08-2019;CONCLUÍDO;M;20191;527779;
201*****;AGROECOLOGIA;AMPLA CONCORRENCIA;2019;;ATIVO;M;20282;528371;
202*****;SISTEMAS DE INFORMAÇÃO;AMPLA CONCORRENCIA;2022;;ATIVO;M;20272;518224;
201*****;ENGENHARIA METALÚRGICA;AMPLA CONCORRENCIA;2019;;CANCELADO;M;20311;518225;
201*****;ENGENHARIA MECATRÔNICA;;2018;;ATIVO;M;20292;518226;
126*****;CIÊNCIA DA COMPUTAÇÃO;AMPLA CONCORRENCIA;2015;;CANCELADO;M;;528391;
114*****;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;AMPLA CONCORRENCIA;2015;;CANCELADO;M;;528378;
227*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2013;;CANCELADO;M;;528322;
202*****;ADMINISTRAÇÃO;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2022;;ATIVO;M;20292;528322;
201*****;ENGENHARIA FERROVIÁRIA E METROVIÁRIA;AMPLA CONCORRENCIA;2018;;CANCELADO;M;20271;921263;
202*****;FÍSICA;AMPLA CONCORRENCIA;2022;;ATIVO;M;20302;518227;
170*****;FÍSICA;AMPLA CONCORRENCIA;2017;;CANCELADO;M;20242;518227;
201*****;ALIMENTOS;AMPLA CONCORRENCIA;2012;;CONCLUÍDO;M;;527823;
106*****;AGROECOLOGIA;AMPLA CONCORRENCIA;2008;;CANCELADO;M;20152;528371;
202*****;SISTEMAS DE INFORMAÇÃO;AMPLA CONCORRENCIA;2022;;ATIVO;M;20292;10306851;
132*****;CIÊNCIA E TECNOLOGIA DE LATICÍNIOS;AMPLA CONCORRENCIA;2016;;CANCELADO;F;20232;528384;
201*****;NUTRIÇÃO;AMPLA CONCORRENCIA;2017;09-09-2022;CONCLUÍDO;F;20231;527818;12-01-2023
202*****;MATEMÁTICA;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2020;;ATIVO;F;20262;524921;
201*****;CIÊNCIAS BIOLÓGICAS;AMPLA CONCORRENCIA;2014;;CANCELADO;F;;527781;
232*****;CIÊNCIA E TECNOLOGIA DE LATICÍNIOS;AMPLA CONCORRENCIA;2017;;CANCELADO;F;20242;528384;
201*****;ENGENHARIA MECATRÔNICA;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2018;;ATIVO;M;20272;518226;
202*****;CIÊNCIA DA COMPUTAÇÃO;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2020;;CANCELADO;M;20272;528391;
111*****;FÍSICA;AMPLA CONCORRENCIA;2011;17-08-2018;CONCLUÍDO;F;20192;518227;
140*****;DESIGN DE MODA;AMPLA CONCORRENCIA;2014;;CANCELADO;F;;553291;
114*****;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;AMPLA CONCORRENCIA;2013;;CANCELADO;F;;528378;
110*****;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;AMPLA CONCORRENCIA;2009;;CANCELADO;F;20162;528378;
232*****;CIÊNCIA E TECNOLOGIA DE LATICÍNIOS;AMPLA CONCORRENCIA;2016;07-02-2020;CONCLUÍDO;F;20232;528384;
201*****;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2019;20-05-2022;CONCLUÍDO;M;20241;553057;06-12-2022
202*****;GESTÃO DE TURISMO;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2021;;CANCELADO;F;20262;527780;
202*****;LOGÍSTICA;AMPLA CONCORRENCIA;2020;29-09-2023;CONCLUÍDO;M;20232;547949;
109*****;ZOOTECNIA;AMPLA CONCORRENCIA;2009;;CONCLUÍDO;M;20182;528390;
111*****;SISTEMAS DE INFORMAÇÃO;AMPLA CONCORRENCIA;2011;;CANCELADO;M;;518224;
201*****;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;;2018;18-12-2020;CONCLUÍDO;M;20232;553057;03-03-2021
201*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2012;;CONCLUÍDO;M;;527776;
160*****;FÍSICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2016;;CANCELADO;M;;518227;
202*****;ADMINISTRAÇÃO;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR;2020;;ATIVO;F;20272;553290;
201*****;LETRAS - LÍNGUA PORTUGUESA E LÍNGUA ESPANHOLA;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR;2019;28-04-2023;CONCLUÍDO;F;20262;548195;
201*****;EDUCAÇÃO FÍSICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2019;;ATIVO;F;20242;527783;
202*****;EDUCAÇÃO FÍSICA;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR;2022;;ATIVO;M;20292;527783;
201*****;GESTÃO DE TURISMO;AMPLA CONCORRENCIA;2018;12-05-2022;CONCLUÍDO;M;20221;527780;07-07-2022
202*****;NUTRIÇÃO;AMPLA CONCORRENCIA;2021;;CANCELADO;F;20282;527818;
202*****;ZOOTECNIA;AMPLA CONCORRENCIA;2021;;CANCELADO;F;20302;528390;
201*****;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;;2017;;CANCELADO;F;20212;553057;
201*****;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;;2018;18-12-2020;CONCLUÍDO;M;20232;553057;03-03-2021
202*****;CIÊNCIAS BIOLÓGICAS;AMPLA CONCORRENCIA;2021;;CANCELADO;F;20281;2259610;
202*****;ENGENHARIA FERROVIÁRIA E METROVIÁRIA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2022;;ATIVO;M;20312;921263;
202*****;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;AMPLA CONCORRENCIA;2022;;CANCELADO;M;20262;553057;
160*****;FÍSICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2016;;CANCELADO;M;20231;518227;
440*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2009;;CANCELADO;F;;528322;
120*****;DESIGN DE MODA;AMPLA CONCORRENCIA;2012;;CANCELADO;F;;553291;
201*****;GESTÃO AMBIENTAL;AMPLA CONCORRENCIA;2011;;CONCLUÍDO;F;;527779;
201*****;EDUCAÇÃO FÍSICA;AMPLA CONCORRENCIA;2018;;CANCELADO;M;20232;527783;
120*****;FÍSICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2012;;CANCELADO;M;;518227;
202*****;SISTEMAS PARA INTERNET;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2020;17-03-2023;CONCLUÍDO;M;20242;527820;18-05-2023
130*****;ENGENHARIA MECATRÔNICA;AMPLA CONCORRENCIA;2013;;CANCELADO;F;;518226;
202*****;ENGENHARIA MECATRÔNICA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA PRETO/PARDO/INDIGENA;2021;;ATIVO;M;20311;518226;
120*****;ENGENHARIA MECATRÔNICA;AMPLA CONCORRENCIA;2012;;CANCELADO;M;;518226;
201*****;DESIGN DE MODA;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2019;;ATIVO;F;20242;553291;
202*****;CIÊNCIA E TECNOLOGIA DE LATICÍNIOS;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2021;;CANCELADO;F;20282;528384;
201*****;NUTRIÇÃO;AMPLA CONCORRENCIA;2018;;CANCELADO;F;;527818;
202*****;ADMINISTRAÇÃO;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR;2023;;ATIVO;F;20302;527776;
202*****;CIÊNCIAS BIOLÓGICAS;AMPLA CONCORRENCIA;2023;;CANCELADO;F;20322;527781;
202*****;CIÊNCIA E TECNOLOGIA DE LATICÍNIOS;AMPLA CONCORRENCIA;2023;;ATIVO;F;20302;528384;
212*****;ADMINISTRAÇÃO;AMPLA CONCORRENCIA;2011;;CANCELADO;M;;528322;
114*****;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;AMPLA CONCORRENCIA;2014;;CANCELADO;F;20212;528378;
202*****;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;ESCOLA PUBLICA - INDEPENDENTE DA RENDA;2021;29-09-2023;CONCLUÍDO;M;20252;553057;
202*****;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;ACAO AFIRMATIVA - PCD;2021;;ATIVO;M;20252;553057;
102*****;CIÊNCIA E TECNOLOGIA DE LATICÍNIOS;AMPLA CONCORRENCIA;2008;;CANCELADO;M;;528384;
310*****;LATICÍNIOS;AMPLA CONCORRENCIA;2005;13-02-2009;CONCLUÍDO;M;20102;898737;
201*****;SISTEMAS PARA INTERNET;AMPLA CONCORRENCIA;2014;;CANCELADO;M;20182;527820;
202*****;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;ESCOLA PUBLICA - RENDA FAMILIAR INFERIOR - PRETO/PARDO/INDIGENA;2021;29-09-2023;CONCLUÍDO;M;20252;553057;
108*****;MATEMÁTICA;AMPLA CONCORRENCIA;2009;;CONCLUÍDO;M;20162;459794;
